WLK_COURS_FLAG_NM,WLK_COURS_NM,COURS_DC,SIGNGU_NM,COURS_LEVEL_NM,COURS_LT_CN,COURS_DETAIL_LT_CN,ADIT_DC,COURS_TIME_CN,OPTN_DC,TOILET_DC,CVNTL_NM,LNM_ADDR,COURS_SPOT_LA,COURS_SPOT_LO
서울 한양도성 길,01코스 북악산,창의문~(2km)숙정문~(200m)말바위안내소~(1.3km)와룡공원~(1.215km)혜화문,서울 종로구,어려움,1~5Km미만,4.715,"""백악마루 아래 서울이 열리다"" 북악산코스는 창의문을 시작으로 숙정문을 거쳐 혜화문에 도달하는 코스이다. 창의문휴게소에서 간단한 출입절차를 거치며, 성곽을 따라 걷는 동안에 성곽유적 뿐만 아니라 서울 시내를 한눈에 바라볼 수 있는 조망명소가 많이 위치해 볼거리가 매우 풍부하다. 와룡공원을 지나 시내로 접하는 구간부터는 성곽이 멸실되었으며 좁은 마을길을 지나지만 잃어버린 역사의 흔적을 따라 걷는 동안 우리의 역사문화유적에 대한 경이로움을 느낄 수 있다.",2시간,창의문안내소 앞,"경복궁역, 창의문안내소, 말바위안내소, 혜화문역",,서울 성북구 삼선동1가,37.5807966,127.0086358
서울 한양도성 길,02코스 낙산,혜화문~(2.3km)흥인지문~동대문 역사 공원 ~(880m)광희문,서울 종로구,보통,1~5Km미만,3.3,[서울 한양도성 길 2코스 : 낙산 구간] : 역사와 패션문화가 만나다 혜화문을 시작으로 낙산공원을 거쳐 장충체육관에 도착하는 코스이다. 낙산에 조성되어 있는 낙산공원은 비교적 높지 않은 코스로 서울성곽을 따라 이어져 있는 탐방로를 걸으며 역사의 숨결을 느낄 수 있다. 흥인지문에서 광희문을 거쳐 장충체육관에 도달하는 길은 성곽복원을 통해 성곽이 복원된 곳을 제외하면 대부분이 멸실 되어 있어 성곽의 흔적을 따라 걷는 코스로 걷는 동안 곳곳의 성곽의 축대를 발견할 수 있어 그 의미 또한 크다.,1시간 30분,사전 준비 필요,"혜화문역, 낙산공원, 동대문역, 동대문역사문화공원역",없음,서울 성북구 삼선동1가,37.5807966,127.0086358
서울 한양도성 길,03코스 남산,광희문~(815m)장충체육관~남산 ~(4.617km)숭례문,서울 종로구,보통,5~10Km미만,5.2,"[서울 한양도성 길 3코스 : 남산 구간] : 600년 도읍지 한양을 마주하다 광희문을 시작으로 장충단공원, 남산공원을 지나 숭례문까지 가는 코스이다. 남산코스는 우리의 역사와 그로인한 문화재 등을 관람하고 서울의 유명한 관광지를 돌아보는 코스로서 서울의 과거와 현재를 다시금 돌아볼 수 있는 계기를 마련한다. 또한 중심지로서 교통이 편리하며 서울의 대표적인 산인 남산으로 통과함으로서 자연을 느끼며 여유로운 트래킹이 될 수 있도록 한다.",3시간 30분,사전 준비 필요,"동대문역사문화공원역, 남산공원",N타워 부근과 시내 곳곳에 있음,서울 성북구 삼선동1가,37.5807966,127.0086358
서울 한양도성 길,04코스 인왕산,숭례문~(1.4km)돈의문~(0.8m)종로문화체육센터~(3.1km)창의문,서울 종로구,어려움,1Km미만,5.3,"""과거와 현대의 공존, 인왕자락에서 숨 쉬다"" 서울 한양도성의 정문 숭례문에서 시작하여 소의문 터와 돈의문 터를 지나 우백호 인왕산338m을 넘어 창의문까지 이르는 구간이다. 숭례문, 소의문 터, 돈의문 터 구간은 장충동 구간과 더불어 서울 한양도성 성곽의 훼손이 가장 심한 곳이어서 온전하게 성벽을 따라 걸을 수 없다. 발걸음은 자연히 정동으로 우회하게 되는데 이곳은 대한제국 때 일본과 러시아를 비롯한 열강들이 각축을 벌이던 곳이다. 김구 선생이 머물던 경교장, 홍난파 가옥, 딜쿠샤, 권율 장군 집터의 은행나무 등을 지나면 내사산 중 인왕산 정상에 이른다. 정상에 오르면 서울 한양도성이 지나간 나머지 내사산의 산세와 함께 그 안에 담겨진 서울의 모습이 고스란히 한눈에 들어온다. 인왕산을 넘어가면 ‘윤동주 시인의 언덕’이 나오고 그 아래 창의문이 있다.",3시간,사전 준비하거나 구매,"서울역, 강북삼성병원, 종로문화체육센터, 윤동주문학관, 창의문안내소, 경복궁역",곳곳에 다수,서울 성북구 삼선동1가,37.5807966,127.0086358
중랑천 제방 산책로,01코스,군자교~장평교(1.4km)~장안교(1km)~배봉산 연육교(1km),서울 동대문구,매우쉬움,1~5Km미만,3.8,"동대문구 장안동과 휘경동 일대 중랑천 제방을 따라 조성된 산책로로 수령이 오래된 앙벚나무와 느티나무가 심어져 한여름철에도 시원한 그늘을 제공하고 있으며, 바닥은 산책과 조깅 등 이용시 무릎에 부담이 가지 않도록 탄성소재로 포장되어 있으며, 산책로 곳곳에 휴게쉼터와 전망데크, 운동기구 등이 설치되어 있어 산책로를 찾는 시민들에게 운동과 휴식, 여가활동 공간으로 사랑받고 있다.",1시간,없음(식수 준비요망),"장한평역, 제방 공중화장실(일정 거리마다 있음)",장한평역내 편의점,서울 중랑구 면목동,37.5750052,127.0774172
서울둘레길,02코스 용마·아차산코스,화랑대역~중랑캠핑숲~구릉산~망우산~용마산~아차산~광나루역,서울 노원구,보통,15~20Km미만,12.6,"외사산의 2코스인 구릉산, 망우산, 용마산, 아차산을 통과하는 코스이다. 대체적으로 산이 경사가 심한 편은 아니지만 한 코스에 산이 4개고 길이가 길어 소요시간이 많이 걸린다. 이 코스 중 구릉산과 망우산은 개발이 되지 않은 자연적인 산을 즐기며 트래킹할 수 있고 용마산과 아차산은 정비가 잘되어있는 편안한 트래킹이 가능하다. 특히 아차산은 정비가 잘 되어 있을 뿐만이 아니라 쉼터와 약수터가 곳곳에 위치하여 어려움없이 트래킹이 가능하다. 또한 아차산 생태공원으로 인해 볼거리가 다양하다는 특성이 있다.",5시간 10분,아차산생태공원,"화랑대역, 신내역, 중랑캠핑숲, 아차산생태공원, 광나루역",망우산과 아차산을 제외한 구간 곡곡에 우치,경기 과천시 막계동,37.4318137,127.0080989
서울둘레길,03코스 고덕·일자산코스,광나루역~고덕산~일자산~성내천~탄천~수서역,서울 강동구,쉬움,20~100Km미만,26.1,"고덕,일자산코스는 광나루역에서 출발해 한강, 고덕산, 일자산, 성내천, 문정근린공원, 탄천을 경유해 수서역에 도착하는 코스이다. 본 코스는 강길, 숲길, 하천길이 모두 포함되어 서울시의 자연경관을 보고 느낄 수 있는 최적의 코스이다. 또한 숲길은 높지 않은 고도로 수월한 산행이 가능하며, 주변의 역사문화관광지가 다양하게 분포하고 있어 볼거리 또한 풍부하다. 코스가 긴 편으로 소요시간이 다소 걸리지만 비교적 평탄한 지형으로 트레킹을 하기에 무리가 없다.",9시간,수서역,"광나루역, 광나루자전거공원, 서울암사동유적, 고덕산산림욕장, 올림픽공원, 성내천, 문정근린공원","선사사거리, 올림픽공원역, 성내천 일대, 수서역",경기 과천시 막계동,37.4318137,127.0080989
서울둘레길,04코스 대모·우면산코스,수서역~대모산~구룡산~여의천~양재천~우면산~사당역,서울 강남구,보통,15~20Km미만,17.9,"외사산의 4코스로 수서역에서 출발하여 대모산, 구룡산, 우면산을 거쳐 사당역에 도착하는 코스이다. 본 코스는 대부분 산행코스지만 높지 않은 고도로 수월한 트레킹이 가능하며 산림자연자원이 풍부하고 서울시 조망이 매우 좋다. 또한 구룡산과 우면산 사이의 여의천, 양재시민의 숲, 양재천을 경유하는 길은 주변 경관이 좋으며, 평탄한 하고 아늑한 산책로로 간편한 트레킹이 가능하다. 출발지인 수서역과 도착지인 사당역은 대중교통의 접근성이 아주 편리하다.",8시간,양재시민의숲,"수서역, 양재시민의숲, 예술의전당, 사당역","수서역, 양재시민의숲역, 사당역 일대",경기 과천시 막계동,37.4318137,127.0080989
서울둘레길,07코스 봉산·앵봉산코스,가양역~노을공원~하늘공원~월드컵경기장~봉산~앵봉산~구파발역,서울 강서구,보통,15~20Km미만,16.6,"외사산의 7코스인 봉산, 앵봉산코스는 가양역에서부터 출발하여 과거의 난지도로 유명한 지금의 노을공원, 하늘공원을 통과하고 2002년 이후로 많은 사람들이 찾는 월드컵경기장을 지나 진입하게 된다. 봉산과 앵봉산은 특별한 트래킹 기술을 요하지는 않으며 급한 경사지와 통과하기 어려운 곳은 정비가 잘 되어 있어 걷기에 어려움은 없다. 봉산과 앵봉산은 수국사, 서오릉 등 역사적 유산이 많아 볼거리가 다양한 것이 특징이다.",6시간 10분,사전 준비하거나 매점에서 구입,"가양역, 하늘공원, 월드컵경기장역, 구파발역",시작점과 종착점 부근,경기 과천시 막계동,37.4318137,127.0080989
서울둘레길,08코스 북한산코스,구파발역~은평뉴타운~선림사~북한산생태공원~탕춘대성암문~불심원~연화정사~성북생태체험관~빨래골지킴터~이준열사묘소~419국립묘지~봉황각~우이령길입구,서울 은평구,보통,20~100Km미만,34.8,8코스는 북한산 둘레길을 이용해 통과하는 노선으로 이미 개통이 된 곳을 이용했기 때문에 정비가 잘되어 있다. 대체적으로 경사가 급하진 않지만 간간이 어려운 코스가 있다. 또한 산 코스임에도 노선이 길어 하루동안 코스를 통과할 수는 없다. 8코스는 대체적으로 사찰과 문화재뿐만 아닌 계곡 등의 자연적 요소 등이 분포되어있어 볼거리가 다양한 코스다.,17시간,,,,경기 과천시 막계동,37.4318137,127.0080989
북한산둘레길,01코스 소나무숲길,우이우이령길입구~(0.6km)둘레길안내소(우이분소)~(1.1km)만고강산약수터~(0.9km)솔밭근린공원입구~(0.5km)솔밭근린공원상단,서울 강북구,쉬움,1~5Km미만,3.1,"북한산 둘레길 01코스 소나무 숲길. 높은 산은 자신없는 분, 하지만 맑은 산공기를 마시며 산책을 즐기고 싶은 분들에게 추천해드립니다. 이 길은 전체적으로 완만한 산길로 이루어져 있어 둘레길을 처음 걸으시는 분이라면 가장 먼저 와볼 만한 구간입니다. 우이계곡 물소리를 들으며 시작한 길이 맑은 약수로 가득한 만고강산을 지나 천여 그루의 소나무가 빼곡히 자라고 있는 솔밭근린공원에 이를 때 쯤이면, 입욕을 한 듯 온몸에 피톤치드 향이 가득할 것입니다. 이미 소나무 숲길을 걸으신 분이라면 우리 곁에 있었지만 그냥 지나치기만 했던 문화, 역사 자료를 찾아 소나무숲길 곳곳으로 문화 기행을 떠나 보는 것은 어떨까요?",1시간 30분,만고강산 약수터,제일교회 모바일화장실 위치,중간중간 마을길 통과구간 매점 활용,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,02코스 순례길,솔밭근린공원 상단~(0.5km)4.19전망대~(1.1km)백련사탐방로갈림길~(0.5km)섶다리~(0.2km)이준열사묘역입구,서울 강북구,보통,1~5Km미만,2.3,"북한산 둘레길 02코스 순례길. 온 가족이 함께 자연 속으로 떠나는 나들이를 계획하고 있다면 순례길을 추천합니다. 아기자기한 숲길이 잘 다듬어 놓은 조성길과 어우러지는 순례길에서는 걷는 내내 나라의 독립과 민주화를 위해 온 삶을 바친 순국선열을 만날 수 있습니다. 민주화의 성지 4.19. 국립묘지를 비롯해 3.1운동, 임시정부, 헤이그특사 등 역사교과서에서 보았던 우리나라 민주, 독립운동사의 주인공들이 곳곳에 잠들어 있는 이 길은 아이들과 함께 덕는 것만으로도 살아있는 역사 교육의 장이 될 것입니다. 또한 소규모 갤러리와 섶다리도 놓치기 아까운 주별 볼거리 입니다.",1시간 10분,둘레길 탐방안내센터 외부에 음수대,강북 01번 마을버스 종점 아카데미 부근에 모바일화장실,솔밭근린공원 상단 주변과 4.19묘역근처 매점 및 편의점 위치,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,03코스 흰구름길,이준열사묘역입구~(2.0km)화계사갈림길~(0.6km)구름전망대~(0.5km)빨래골공원지킴터~(1.0km)북한산생태숲앞,서울 강북구,보통,1~5Km미만,4.1,북한산 둘레길 03코스 흰구름길. 산과 도시가 어우러진 수려한 조망을 원하는 분들에게 추천하는 코스입니다. 화계사를 지나 나타나는 구름전망대에 오르면 마치 구름위에 올라 아래를 내려다보듯 북한산과 서울시내 전경이 파노라마처럼 펼쳐집니다. 12미터에 달하는 높이에 덮게가 없어 360도 전방위 조망이 가능한 구름전망대만의 특징 때문입니다. 둘레길 중간에서 산 정상에서나 느낄 수 있는 경치를 감상하고 나면 빨래골과 화계사에 숨어있는 궁녀이야기와 보물 동종을 찾아 발길을 옮기는 건 어떨까요?,2시간,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,화계사 갈림길에 모바일화장실 설치되어 있음,중간중간 마을길 통과구간 매점 활용,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,04코스 솔샘길,북한산생태숲앞~(0.5km)성북생태체험관~(0.6km)칼바위탐방로 갈림길~(1.0km)북한산탐방안내소,서울 강북구,보통,1~5Km미만,2.1,"북한산 둘레길 04코스 솔샘길. 소나무와 맑은 샘이 있다는 뜻을 가진 솔샘길은 예쁜 이름처럼 아이들과 잘 어울리는 길입니다. 수십가지 야생화와 관목으로 가득한 생태공원에서 처음 보는 꽃과 나무의 이름을 부르고, 성북구에서 제공하는 무료 생태교육을 받다보면 모르는 사이에 생태 감수성이 무럭무럭 자라게 될 것입니다. 이 솔샘길에 있다는 솔샘 발원지는 어디에 있을까요? 솔샘길이 지나는 미향마을의 유래와 거북바위의 전설은 또 무엇일까요? 궁금증을 풀고 나면 옛 명칭이 '청수장'인 북한산탐방안내소에 들러 재미있는 북한산 역사와 숲 이야기를 들어보세요.",1시간,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,성북생태체험관 고정식 화장실 위치,성북생태체험관 과 정릉탐방안내소 사이에 편의점 위치,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,05코스 명상길,북한산생태숲앞~(0.6km)성북생태체험관~(0.6km)칼바위탐방로 갈림길~(1.2km)북한산탐방안내소,서울 강북구,보통,1~5Km미만,2.4,"북한산 둘레길 05코스 명상길. 도시를 떠나 조용하게 걷고 싶은 분들과 그동안 막혀있던 백두대간의 한줄기 한북정맥을 걷기 원하시는 분들이라면 명상길을 추천합니다. 명상길에 있는 북악산 갈림길은 북한산에서 북악산으로 갈 수 있는 유일한 도보길입니다. 일명 김신조 루트로 막혀있던 이 길이 열리면서 북한산에서 북악산으로 이어지는 한북정맥의 흐름도 되살아났지요. 이 갈림길에서는 정릉동과 평창동 방향 둘레길은 물론 북으로는 북한산의 형제봉 능선, 남으로는 북악산을 지나 서울성곽까지 갈 수 있어 탐방로의 요지로 꼽히고 있습니다.",1시간 10분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,북한산 탐방안내소 고정식 화장실 위치,북한산국립공원 버스종점 하차 후 공원입구까지 매점 위치,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,06코스 평창마을길,형제봉입구~(1.0km)평창공원지킴터~(1.1km)해원사~(1.4km)전심사~(0.5km)구기터널앞~(1.0km)탕춘대암문입구,서울 강북구,어려움,5~10Km미만,5.0,"북한산 둘레길 06코스 평창 마을길. 산책길 뿐만 아니라 문화예술의 길을 함께 걷고 싶은 분들에게 추천하는 코스입니다. 들어선 건물 하나하나가 조형 예술품으로도 손색이 없는 평창동은 서울에서도 손꼽히는 갤러리 명소입니다. 가나아트센터를 비롯한 크고, 작은 미술갤러리는 물론이고 문학 박물관과 소설가의 생가, 출판박물관에 이르기까지 평창동은 문화과 미술을 아우르는 종합 예술 타운이로고 해도 과언이 아닙니다. 평창이느는 명칭이 유래한 평창터와 민속자료로 가치가 높은 산신각, 신목 등 거미줄처럼 얽힌 평창동 골목에 숨어있는 또 다른 문화재를 찾아 골목골목을 누비며 나만의 둘레길 코스를 만들어 보세요.",2시간 30분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,형제봉입구에 모바일화장실 위치,중간중간 마을길 통과구간 매점 활용,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,07코스 옛성길,탕춘대성암문입구~ (0.3km)탕춘대성암문 ~ (1.0km)전망대(헬기장) ~ (0.9km)장미공원 ~(0.5km)북한산생태공원상단,서울 은평구,어려움,1Km미만,2.7,"북한산 둘레길 07코스 옛성길. 산책길 뿐만 아니라 문화예술의 길을 함께 걷고 싶은 분들에게 추천하는 코스입니다. 들어선 건물 하나하나가 조형 예술품으로도 손색이 없는 평창동은 서울에서도 손꼽히는 갤러리 명소입니다. 가나아트센터를 비롯한 크고, 작은 미술갤러리는 물론이고 문학 박물관과 소설가의 생가, 출판박물관에 이르기까지 평창동은 문화과 미술을 아우르는 종합 예술 타운이로고 해도 과언이 아닙니다. 평창이느는 명칭이 유래한 평창터와 민속자료로 가치가 높은 산신각, 신목 등 거미줄처럼 얽힌 평창동 골목에 숨어있는 또 다른 문화재를 찾아 골목골목을 누비며 나만의 둘레길 코스를 만들어 보세요.",1시간 40분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,형제봉입구에 모바일화장실 위치,중간중간 마을길 통과구간 매점 활용,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,08코스 구름정원길,북한산생태공원상단~(1.0km)하늘전망대 스카이워크~ (2.7km)선림공원지킴터~(0.5km)기자촌공원지킴터~(1.0km)진관생태다리,서울 은평구,어려움,5~10Km미만,5.2,"북한산 둘레길 08코스 구름 정원길. 구름정원길 스카이워크는 도심과 자연 그리고 사람이 함께 어우러져 만들어가는 공간을 아름다운 서울의 시경과 함께 조망할 수 있는 길입니다. 은평구 구기터널 상단 지역의 계곡을 횡당하는 길이 60m의 하늘을 걷는 느낌이 들도록 공중에 조성이 되어 상쾌한 소나무향을 맡으며, 산책하는 기분을 느낄 수 있는 구간입니다. 아래로 보이는 나무들과 하늘과 맞닿아 있는 이 스카이워크를 걸으면서 소나무 침엽수림에서 많이 분비되는 방향성 물질인 피톤치드를 마시며 장과 심폐기능을 강화, 스트레스를 해소할 수 있으며 다른 구간에서는 느낄 수 없는 숲 위를 걷고 있다는 기분이 들 것입니다.",2시간 30분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,진관공원지킴터 모바일화장실 위치,선림공원지킴터 아래에 매점 위치,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,09코스 마실길,진관생태다리~(0.3km)보호수(느티나무)~(1.0km)원효조경~(0.2km)방패교육대앞,서울 은평구,쉬움,1~5Km미만,1.5,"북한산 둘레길 09코스 마실길. 은평뉴타운 속 좋熾?백년이 훌쩍 넘은 느티나무, 천년 고찰을 품고 지나는 마실길을 따라 걷다 보면 자신도 모르게 마음이 평온해짐을 느끼실 수 있습니다. 동네 산책나온 기분으로 쉬엄쉬엄 걷다보면 도시와 숲길을 차례로 지납니다.",45분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,방패교육대 앞 모바일화장실 위치,원효조경과 방패교육대 사이에 매점 위치,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,10코스 내시묘역길,방패교육대앞 ~ (1.5km)경천군송금물침비 ~ (0.7km)북한산성분소 ~ (1.3km)효자동공설묘지,서울 은평구,보통,1~5Km미만,3.5,"북한산 둘레길 10코스 내시묘역길. 우리나라에서 가장 오래되고, 규모가 큰 내시묘역이 있었던 이 구간은 왕의 뒤에서 그림자처럼 말없이 보좌하던 그들의 성품처럼 한적한 숲길입니다. 또한 넘치지도 않고 부족하지도 않게 스스로의 모습을 찾아가는 자연 그대로의 습지에서 바람에 스치는 갈대와 부들의 소리를 들어보실 수 있습니다.",1시간 45분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,북한산성탐방지원센터옆 고정식화장실 위치,북한산성 입구에 매점 위치,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,11코스 효자길,효자동 공설묘지 ~ (0.5km)와글와글식당 ~ (1.0km)밤골입구 ~(0.5km)사기막골삼거리 ~ (1.3km)사기막골 입구,서울 강북구,보통,1~5Km미만,3.3,북한산 둘레길 11코스 효자길. 북한산 인수봉에서 발원해 한강으로 흐르는 창릉천이 두른 효자길은 효자 박태성과 인왕산 호랑이에 대한 전설을 간직하고 있는 곳입니다. 효자길을 걷다보면 우리의 민속 문화를 엿볼 수 있는 몇몇의 굿당이 눈에 들어올 것입니다. '사기막골' 이라는 마을이 있는데 이는 예부터 이곳에서 사기그릇을 만들었다 하여 붙여진 지명이라고 합니다.,1시간 30분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,사기막골 공원지킴터에 모바일화장실 위치,와글와글식당,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,12코스 충의길,사기막골 입구 ~ (0.4km)사기막 전망대 ~ (2.8km)솔고개 ~ (0.5km)교현우이령입구,서울 강북구,보통,1~5Km미만,3.7,북한산 둘레길 12코스 충의길. 사기막계곡에서 솔고개로 이어지는 숲 속 길입니다. 특히 상장봉 왼쪽 사면을 가로지르는 숲 속 길은 새롭게 조성된 산책로로 인적이 드물고 산세가 아름답습니다. 충의길 시작점인 사기막계곡을 출발해 새로 놓인 다리를 건나 십분여 산길을 오르면 사기막전망대에 도착합니다. 목재 데크 안에 의자를 놓아 쉼터를 겸하도록 설치된 이 전망대에서는 북한산의 주봉인 인수봉과 백운대가 한 눈에 들어옵니다. 또한 이곳은 둘레길은 물론 북한산 숨은벽 능선을 조망할 수 있는 전망대로 경치가 매우 좋은 코스입니다.,1시간 45분,식수보급처가 없으므로 중간중간 마을길 통과시 매점에서 구입하거나 사전준비,사기막공원지킴터에 모바일화장실 위치,사기막골 입구 길건너편에 매점 위치,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,13코스 송추마을길,교현우이령입구 ~ 원각사입구(5.3km),서울 강북구,보통,5~10Km미만,5.3,북한산 둘레길 13코스 송추 마을길. 수도권 휴양지로 널리 알려진 청정한 송추계곡(2.5km)을 만날수 있는 송추마을길은 군시절의 추억과 시골의 정취를 동시에 느낄수 있는 추억의 마을길입니다. 물장구치고 고기잡던 유년시절의 향수를 간직하고 있는 송추계곡과 짧은 계곡임에도 비온 후에는 제법 깊은 산속 폭포같은 모습으로 다가오는 원각사계곡의 시원한 물소리는 도심에서는 느껴보지 못한 자연의 작은 선물입니다.,2시간 40분,식수 보급처가 없으므로 인근마을 매점에서 구매 또는 사전준비,"오봉탐방지원센터 옆, 송추주차장내(2개소)",송추계곡(송추이주단지입구) 교량입구,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,14코스 산너미길,원각사입구 ~ 안골계곡(2.3km),서울 강북구,매우어려움,1~5Km미만,2.3,"북한산 둘레길 14코스 산너미길. 사패산의 깊은 속내를 살펴볼 수 있는 산너미길은 산을 넘는다는 의미로 사패산 6부능선에 있는 붉은 바위까지 올라야하는, 둘레길 중 가장 힘든 구간이지만 전망은 으뜸입니다. 전망대인 거북바위터에서 내려다보면 의정부 시가지와 멀리 양주시청도 한눈에 들어오고 오른쪽으로는 수락산이, 정면에는 천보산이 파노라마처럼 펼쳐집니다. 또한 안골계곡을 끼고 탐방하는 구간으로 계곡을 넘는 곳곳에는 사패교, 갓바위교, 울띄교 등 나무다리가 조성되어 있어 산길의 운치를 더해줍니다.",1시간 10분,식수 보급처가 없으므로 인근마을 매점에서 구매 또는 사전준비,원각사입구(1개소),마을길구간에서 인근매점 활용,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,15코스 안골길,안골계곡 ~ 회룡탐방지원센터(4.7km),서울 강북구,보통,1~5Km미만,4.7,"북한산 둘레길 15코스 안골길. 이 구간은 의정부시가 조성한 직동공원과 연결된 길로 배드민턴장, 축구장, 인공암벽과 같은 체육시설은 물론 분수대 야생화단지, 조각공원까지 한 자리에서 즐길 수 있는 가족형 산책코스입니다. 그 뿐만 아니라 안골계곡을 포함해 사패산으로 오르는 등산로가 곳곳에 이어져 있어 본격 등산을 위한 준비코스로 좋습니다. 회룡탐방지원센터에서 가까운 회룡사는 태조 이성계와 무학대사에 얽힌 전설이 전해지는 의정부시 대표 사찰로 문화재적 가치가 높은 회룡사 오층석탑, 회룡사석조, 신중도가 있습니다.",2시간 20분,회룡샘,"안골계곡 입구, 회룡탐방지원센터(2개소)",회룡탐방지원센터 입구,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,16코스 보루길,회룡탐방지원센터 ~ 원도봉입구(2.9km),서울 강북구,어려움,1~5Km미만,2.9,북한산 둘레길 16코스 보루길. 고구려시대의 석축과 보루가 있어서 보루길 이라고 합니다. 회룡탐방지원센터를 지나 다락원방향으로 가파르게 오르다보면 사패산 3보루터를 만날수 있습니다. 중랑천을 따라 남북을 잇는 고대 교통로를 통제하던 보루답게 보루터에서는 의정부시 호원동일대가 한눈에 내려다 보입니다. 이 길은 조금 가파르게 오르내리기 때문에 난이도가 높지만 걷고 나면 상쾌한 기분을 느낄수 있는 구간이기도 합니다.,1시간 30분,식수 보급처가 없으므로 인근마을 매점에서 구매 또는 사전준비,원심사 앞(1개소),원도봉산 입구,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,17코스 다락원길,원도봉입구 ~ 다락원(3.1km),서울 강북구,보통,1~5Km미만,3.1,"북한산 둘레길 17코스 다락원길. 다락원이란 명칭은 조선시대에 공무로 출장하던 사람들이 묵던 원이 있었고, 그 원집에 다락 증 누각이 있어서 붙여진 이름입니다. 한때는 상인들이 물건을 사고 팔았던 시장이 성했던 곳이지만 지금은 명칭으로만 전해집니다. 원도봉 입구에서 다락원까지 구간의 대부분이 공원 외 지역에 걸친 구간으로 서울과 경기도의 경계를 지나는 구간이기도 합니다. 마을길을 통과하여 다락원으로 접어들면 잭슨캠프 뒤편으로 무성한 큰키나무들과 아기자기한 텃밭, YMCA다락원캠프장 등을 지나며 조용한 시골길의 분위기를 느낄수 있습니다.",1시간 30분,식수 보급처가 없으므로 인근마을 매점에서 구매 또는 사전준비,대부분 마을길구간으로 주변 상가 화장실 이용,원도봉입구,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,18코스 도봉옛길,다락원 ~ 무수골(3.1km),서울 강북구,쉬움,1~5Km미만,3.1,"북한산 둘레길 18코스 도봉 옛길. 도봉산 주탐방로와 만나는 도봉옛길은 조상의 정취를 간직한 볼거리가 가득한 구간입니다. 도봉산에서도 이름난 사찰인 도봉사, 광륜사, 능원사를 지나는가하면 도봉계곡 옆에 있는 우암 송시열의 도봉동문이란 바위글씨가 명산의 입구임을 알려줍니다. 세종이 재위 당시 찾았다가 물 좋고 풍광이 좋아 아무런 근심이 없는 곳이라하여 그 이름이 유래된 무수골에는 세종의 아홉째 아들인 형해군의 묘를 비롯해 단아한 모양새를 한 왕족묘가 있습니다. 산정약수터입구에서 시작하는 220m의 무장애탐방로는 휠체어통행이 가능하며, 탐방로 끝 전망데크에 서면 선인봉과 도봉 절경이 한 눔에 들어옵니다.",1시간 30분,산정약수,"산정약수 밑, 도봉소공원(2개소)",광륜사,서울 은평구 불광동,37.6261212,126.9362684
북한산둘레길,19코스 방학동길,무수골 ~ 정의공주묘(1.6km),서울 강북구,보통,1~5Km미만,3.1,북한산 둘레길 19코스 방학동길. 방학동이라는 이름은 곡식을 찧는 기구인 방아가 있는 곳이라는 뜻을 가진 우리말 방아골에서 유래했습니다. 한자로 기록하는 과정에서 음이 비슷한 방학리로 고쳐지면서 지금의 방학동이 되었습니다. 전국간이 숲길로만 이어진 방학동길에서는 이마에 맺힌 땀방울을 한 모금 약수로 식히고 갈 수 있는 바가지 약수터와 도봉산둘레길의 명소이자 유일한 전망대인 쌍둥이 전망대를 만나실 수 있습니다. 방학능선을 천천히 걸을 때 나무 사이로 언뜻언뜻 모습을 드러내는 도봉산 주봉도 풍치를 자아냅니다.,1시간 30분,바가지약수터,산행중에는 공중화장실이 없으므로 무수골 입구 화장실 활용,정의공주묘 입구,서울 은평구 불광동,37.6261212,126.9362684
